Serial number,Price,Area(house sq.ft),Location
214,33500000,1785,Borivali West
215,14500000,775,Goregaon West
216,9000000,765,Kandivali West
217,13500000,910,Goregaon West
218,9000000,640,Goregaon West
219,21600000,1264,Malad East
220,13700000,1056,Kandivali West
221,27799999,1810,Kandivali East
222,27900000,1656,Goregaon West
223,81600000,3888,Goregaon West
224,38600000,2030,Borivali West
225,17000000,1114,Andheri East
226,60100000,3585,Goregaon West
227,27900000,1404,Goregaon East
228,31500000,1620,Goregaon East
229,37500000,2780,Malad East
230,31000000,1672,Malad East
231,21100000,1200,Malad East
232,16500000,1200,Malad East
233,16000000,1250,Borivali East
234,26000000,1840,Borivali East
235,15200000,1170,Malad West
236,2300000,310,Kharghar
237,33000000,1245,Wadala
238,29000000,1153,Wadala
239,11200000,573,Ulwe
240,9000000,1100,Ulwe
241,8500000,1135,Ulwe
242,9000000,1060,Kharghar
243,11500000,560,Malad West
244,12100000,1150,Dahisar
245,11000000,1054,kandivali
246,27000000,1695,Goregaon
247,21600000,1579,Goregaon
248,30200000,2153,Goregaon
249,41200000,1872,Goregaon
250,30500000,1717,Goregaon
251,36700000,1675,Goregaon East
252,23800000,1672,Malad East
253,20500000,1457,Malad East
254,5500000,425,Bhandup West
255,9000000,560,thakur village kandivali east
256,32500000,1200,Santacruz West
257,8500000,575,Kanjurmarg
258,9000000,400,Borivali East
259,2500000,300,Kandivali East
260,5500000,400,I C Colony
261,8000000,650,Dahisar W
262,27500000,1600,Malad East
263,11500000,860,Marol
264,35900000,1320,Parel
265,42000000,1200,Lower Parel
266,33100000,1320,Parel
267,106000000,2826,Worli
268,101400000,2880,Lower Parel
269,32500000,997,Jogeshwari East
270,18500000,1038,Jogeshwari East
271,11000000,600,Malad West
272,9200000,400,Chembur Shell Colony
273,50100000,2800,Central Avenue
274,33000000,1400,Chembur East
275,34100000,1500,Diamond Market Road
276,21800000,1412,Mulund
277,21200000,1412,Mulund
278,3000000,545,Nalasopara West
279,11000000,585,raheja vihar
280,17900000,1000,raheja vihar
281,19500000,1050,Powai Lake
282,19500000,1014,MHADA Colony 20
283,16000000,900,Goregaon East
284,11500000,600,Tolaram Colony
285,10500000,700,Tolaram Colony
286,6400000,1550,Taloja
287,90000000,5245,Thane West
288,2100000,529,Vangani
289,3600000,530,Sector 20 Kharghar
290,9200000,1260,Sector 5 Ulwe
291,9000000,1260,Sector12 New Panvel
292,9200000,1150,Sector 17 Ulwe
293,5300000,690,Sector 17 Ulwe
294,15500000,1240,Sector9 Kamothe
295,9500000,1260,Sector 19 Kharghar
296,9000000,1240,Sector 5 Ulwe
297,10100000,1265,Navi Basti
298,10800000,1260,Sector12 Kamothe
299,11000000,1255,Sector 21 Kamothe
300,7200000,1055,Sector 19 Kharghar
301,7000000,1060,Sector 5 Ulwe
302,12700000,1238,Navi Basti
303,8500000,1150,Sector12 Kamothe
304,8500000,1165,Sector12 Kamothe
305,7700000,1080,Sector9 Kamothe
306,11000000,1470,Sector12 Kamothe
307,6000000,610,Sector9 Kamothe
308,9200000,1180,Sector12 Kamothe
309,15000000,1735,Sector9 Kamothe
310,11000000,1230,Sector 17 Ulwe
311,4500000,599,Sector 17 Ulwe
312,8800000,980,Sector9 Kamothe
313,16500000,1654,Sector9 Kamothe
314,16800000,1665,Sector 17 Ulwe
315,16299999,1640,Sector 17 Ulwe
316,15500000,1650,Sector 17 Ulwe
317,4900000,980,Taloja
318,3400000,730,Rutu Enclave
319,4800000,1020,taloja panchanand
320,6200000,1075,Virar West
321,33700000,1600,Chembur
322,50100000,2800,Central Avenue
323,10700000,715,Chembur
324,15000000,1016,Chembur
325,18500000,1000,Chembur
326,17600000,1100,Chembur
327,5000000,578,Sector 20 Kamothe
328,5000000,650,Sector 22 Kamothe
329,4000000,600,Sector 21 Kamothe
330,5000000,600,Sector 22 Kamothe
331,6250000,625,Sector 18 Kamothe
332,4800000,600,Sector 22 Kamothe
333,3800000,560,Sector-5 Kamothe
334,3600000,580,Sector-6A Kamothe
335,4400000,530,Sector 11 Kamothe
336,5000000,650,Sector-18 Ulwe
337,9000000,1450,Sector 21 Kamothe
338,2600000,380,Sector-12 Kamothe
339,2600000,400,Navi Basti
340,21000000,620,azad nagar
341,19600000,1250,Chembur
342,18600000,1067,Sindhi Society Chembur
343,21500000,1200,Chembur
344,11000000,780,Kurla
345,13799999,1020,Sahkar Nagar
346,14000000,671,Deonar
347,22000000,1650,Kharghar
348,14500000,1360,Kharghar
349,25000000,1600,Kandivali East
350,11500000,1250,Kharghar
351,4000000,750,Taloja
352,2500000,450,Taloja
353,2300000,410,Taloja
354,45000000,1168,Lower Parel
355,5700000,516,Thane
356,9600000,900,Jankalyan Nagar
357,2010000,600,Badlapur
358,2005000,575,Badlapur
359,2548000,675,Ambarnath
360,2492000,660,Ambarnath
361,2418000,640,Ambarnath
362,2400000,690,Ambernath West
363,21700000,900,Vakola
364,16700000,1150,Jankalyan Nagar
365,2900000,350,Jankalyan Nagar
366,11500000,950,Jankalyan Nagar
367,4000000,620,Kamothe
368,6400000,980,Kamothe
369,6900000,950,Kamothe
370,7500000,890,Sector 17 Ulwe
371,5425000,619,Kamothe
372,5700000,710,Kamothe
373,7100000,887,Kamothe
374,7800000,1005,Kamothe
375,5900000,950,Kamothe
376,6200000,660,Kamothe Sector 16
377,5500000,650,Sector 17 Ulwe
378,5000000,650,Kamothe
379,4050000,638,Kamothe
380,5050000,675,Kamothe
381,7400000,890,Sector 17 Ulwe
382,6800000,1006,Kamothe
383,3000000,420,Kamothe
384,5200000,850,Kamothe
385,6700000,1005,Kamothe
386,6900000,900,Kamothe
387,7950000,940,Kamothe
388,5460000,620,Kamothe
389,4950000,650,Kamothe
390,7000000,1000,Kamothe
391,8575000,1100,Kamothe
392,4800000,600,Kamothe
393,2700000,350,Sector 17 Ulwe
394,7900000,940,Kamothe
395,36000000,900,Almeida Park
396,35000000,700,Khar
397,30000000,850,Bandra West
398,35000000,800,Pali Hill
399,35000000,800,15th Road
400,2100000,770,Palghar
401,14500000,989,Chembur
402,14900000,1550,Kharghar
403,3700000,550,Sector13 Kharghar
404,2700000,416,Sector 20 Kharghar
405,3850000,510,Kharghar
406,2850000,305,Kharghar
407,12100000,1251,Kharghar
408,6800000,989,Kharghar
409,6000000,850,Kharghar
410,6850000,989,Kharghar
411,5500000,900,Kharghar
412,9200000,1500,Sector 21 Kharghar
413,5000000,650,Sector 12 Kharghar
414,17500000,1750,Kharghar
415,9400000,1240,Kharghar
416,16500000,1560,Kharghar
417,3700000,640,Kharghar
418,2700000,350,Sector 21 Kharghar
419,8000000,1050,Kharghar
420,22000000,1770,Kharghar
421,10200000,1230,Kharghar
422,3100000,450,Kharghar
423,5500000,655,Kharghar
424,32799999,780,Santacruz West
425,11000000,550,Vivek Vidyalaya Marg
426,12000000,510,Goregaon West
427,17000000,1270,Goregaon West
428,2900000,558,Vasai east
429,36100000,1237,Nahur
430,3682000,715,Badlapur West
431,11600000,1179,Thane West
432,2100000,495,Thane
433,2700000,570,Panvel
434,3600000,575,Kalyan
435,2865000,675,Badlapur East
436,2374000,634,Ambernath West
437,5200000,580,Mira Bhayandar
438,14000000,1185,Malad West
439,62500000,2665,Goregaon West
440,26500000,1305,Malad West
441,13000000,995,Malad West
442,10600000,1014,Malad West
443,11000000,756,Juhu
444,3985000,670,Kalyan
445,2200000,500,Naigaon East
446,2300000,500,Naigaon East
447,2650000,673,Ambarnath
448,4600000,650,Mira Road East
449,5000000,735,Ulwe
450,7200000,952,Sector 21 Ulwe
451,72000000,1141,Bandra East
452,6100000,1150,Dronagiri
453,18500000,1250,Nerul
454,4700000,650,Karanjade
455,4100000,690,Karanjade
456,4000000,670,Karanjade
457,4300000,654,Karanjade
458,3950000,630,Karanjade
459,3850000,635,Karanjade
460,22500000,1750,Sanpada
461,17000000,1250,Sanpada
462,6000000,687,Sector-18 Ulwe
463,11100000,1310,Sector-8 Ulwe
464,3500000,690,Dronagiri
465,5200000,1070,Dronagiri
